광종,기간,수급안정화지수
코발트,2018-01-01,6.688569521
코발트,2018-02-01,4.529362115
코발트,2018-03-01,4.151129594
코발트,2018-04-01,3.402339844
코발트,2018-05-01,3.278509852
코발트,2018-06-01,3.417726422
코발트,2018-07-01,3.504059394
코발트,2018-08-01,3.973244602
코발트,2018-09-01,5.506597597
코발트,2018-10-01,5.456639151
코발트,2018-11-01,5.642485934
코발트,2018-12-01,6.941236196
코발트,2019-01-01,11.97335733
코발트,2019-02-01,38.52124829
코발트,2019-03-01,59.51752378
코발트,2019-04-01,69.51523353
코발트,2019-05-01,61.11532216
코발트,2019-06-01,60.75275434
코발트,2019-07-01,67.96434761
코발트,2019-08-01,73.91665187
코발트,2019-09-01,64.58344072
코발트,2019-10-01,56.06659409
코발트,2019-11-01,53.7199324
코발트,2019-12-01,56.3323494
코발트,2020-01-01,60.55006831
코발트,2020-02-01,55.83687769
코발트,2020-03-01,51.42126931
코발트,2020-04-01,54.73431637
코발트,2020-05-01,58.01739246
코발트,2020-06-01,61.33438189
코발트,2020-07-01,63.11054857
코발트,2020-08-01,66.03007441
코발트,2020-09-01,61.92779033
코발트,2020-10-01,59.82837453
코발트,2020-11-01,59.8846622
코발트,2020-12-01,59.07563109
코발트,2021-01-01,57.57362421
코발트,2021-02-01,44.76538711
코발트,2021-03-01,25.36476523
코발트,2021-04-01,18.06434942
코발트,2021-05-01,26.88832219
코발트,2021-06-01,35.27208713
코발트,2021-07-01,40.63973148
코발트,2021-08-01,26.51970328
코발트,2021-09-01,27.72511812
코발트,2021-10-01,12.08461116
코발트,2021-11-01,21.03378373
코발트,2021-12-01,15.2665941
코발트,2022-01-01,8.122922434
코발트,2022-02-01,7.818013274
코발트,2022-03-01,7.034587761
코발트,2022-04-01,3.359499082
코발트,2022-05-01,3.503294168
코발트,2022-06-01,3.781825527
코발트,2022-07-01,25.71166432
코발트,2022-08-01,39.40002508
코발트,2022-09-01,49.97703777
코발트,2022-10-01,36.53321012
코발트,2022-11-01,37.41230701
코발트,2022-12-01,43.70819102
코발트,2023-01-01,47.95891324
코발트,2023-02-01,58.44326443
코발트,2023-03-01,65.70939565
코발트,2023-04-01,65.01683564
코발트,2023-05-01,66.49076681
코발트,2023-06-01,71.74645311
코발트,2023-07-01,70.30994811
코발트,2023-08-01,57.5849644
코발트,2023-09-01,61.06658626
코발트,2023-10-01,68.71912868
코발트,2023-11-01,67.26020296
코발트,2023-12-01,66.52359437
코발트,2024-01-01,67.2453003
코발트,2024-02-01,71.54542595
코발트,2024-03-01,70.69857369
코발트,2024-04-01,69.17495362
코발트,2024-05-01,69.8209524
